Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
753,4,9,7,5,10,6,1,0,2,2,0,2,6,0,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
754,5,7,7,5,8,4,7,3,5,8,5,7,5,5,Samsung,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Mumbai,Student
755,7,9,7,8,2,4,9,5,8,9,5,7,7,9,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in North,Student
756,2,8,1,10,10,1,10,8,9,10,2,8,7,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
757,9,9,8,7,8,1,9,9,9,9,4,2,5,8,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
758,3,8,9,2,7,3,7,1,10,9,6,8,8,2,Vivo,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
759,7,9,5,4,5,7,7,3,4,8,1,1,3,5,Others,Online,Fruit flavour,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
760,3,9,6,6,9,7,4,3,7,8,4,6,3,3,Xiaomi,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
761,2,8,3,8,10,7,6,4,7,8,5,7,4,8,Xiaomi,Online,Cola,Everyday,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Other towns in West,Student
762,6,9,7,6,10,5,6,9,7,9,6,8,8,5,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
763,7,9,9,10,10,6,10,8,0,8,3,5,7,1,Xiaomi,Online,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
764,2,10,2,1,5,8,0,6,9,7,1,6,1,1,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
765,8,8,8,9,10,10,0,0,2,10,0,6,1,0,Oppo,Retail,I do not consume soft drinks at all,Never,Everyday,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Other towns in North,Student
766,3,5,8,2,10,7,1,8,10,10,5,10,5,4,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Delhi,Student
767,6,8,6,4,5,2,10,2,0,8,4,5,0,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Everyday,Less Often,Never,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
768,9,10,7,6,0,6,4,3,10,8,5,8,6,0,Others,Online,I do not consume soft drinks at all,Less Often,Never,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Kolkata,Working Executive
769,0,6,10,10,0,0,10,10,10,10,10,8,8,10,One Plus,Online,Cola,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Bangalore,Student
770,2,7,5,5,0,0,5,10,10,10,5,10,7,5,Samsung,Online,Fruit flavour,Never,Less Often,Less Often,Everyday,Online,Online,18-23,Female,Kolkata,Working Executive
771,3,10,5,0,5,3,0,10,10,10,10,10,4,10,Apple,Online,Orange,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
772,2,7,6,7,7,7,6,8,9,9,7,6,5,8,One Plus,Online,Cola,Never,Never,Less Often,Never,Online,Online,24-28,Male,Other towns in South,Student
773,7,8,7,6,8,2,7,3,8,5,4,2,6,7,Oppo,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
774,3,8,4,9,8,9,8,3,8,5,3,1,4,2,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
775,4,9,7,8,10,8,7,10,10,10,9,8,8,9,Apple,Online,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Online,18-23,Male,Other towns in North,Student
776,3,5,7,3,8,3,8,2,0,1,1,1,9,10,One Plus,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,18-23,Female,Other towns in West,Student
777,9,7,3,3,1,6,3,7,5,7,2,5,7,2,Vivo,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Online,Online,18-23,Male,Delhi,Student
778,5,6,10,5,5,8,5,7,2,9,8,0,10,5,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Delhi,Student
779,3,6,4,7,10,9,3,8,9,8,3,3,6,2,One Plus,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Hyderabad,Student
780,2,6,7,9,7,7,9,6,8,9,3,9,10,5,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
781,1,5,6,6,1,1,9,7,9,9,8,8,8,9,Others,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in North,Student
782,1,6,5,4,8,4,4,2,7,8,7,3,3,7,Vivo,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
783,5,9,5,5,6,2,10,6,9,10,5,7,9,9,Apple,Retail,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Female,Bangalore,Student
784,2,7,5,8,10,3,8,0,8,9,5,2,3,5,One Plus,Online,Cola,Everyday,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in North,Student
785,4,6,3,3,10,5,3,8,9,8,8,5,5,5,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
786,2,8,8,9,5,4,9,10,5,8,3,5,6,8,Xiaomi,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in East,Student
787,8,9,7,3,9,8,3,4,9,8,4,5,6,9,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Other towns in West,Student
788,8,4,4,5,9,5,4,3,6,7,3,4,4,4,Xiaomi,Online,White/Colourless,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
789,1,8,2,10,10,7,8,1,2,8,2,1,3,2,One Plus,Online,Orange,Never,Less Often,Less Often,Never,Online,Online,24-28,Male,Chennai,Student
790,6,8,7,8,7,8,8,8,5,9,3,5,5,5,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Mumbai,Student
791,4,1,2,8,2,8,3,3,7,8,1,1,3,6,One Plus,Online,I do not consume soft drinks at all,Less Often,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
792,4,7,7,8,8,9,9,6,6,8,7,5,6,5,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in South,Student
793,7,10,8,10,10,8,0,7,9,10,0,10,8,10,Xiaomi,Online,Cola,Everyday,Everyday,Less Often,Everyday,Newspaper,Retail Stores,24-28,Male,Other towns in North,Student
794,7,9,6,4,5,1,6,5,8,8,3,6,5,7,Others,Online,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
795,8,6,9,5,10,2,2,8,8,7,5,7,9,5,One Plus,Online,Orange,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
796,1,8,8,8,9,10,2,2,1,9,9,5,9,1,Samsung,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Student
797,7,9,8,10,6,9,8,2,8,10,6,3,7,3,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in North,Student
798,8,7,4,3,3,9,9,4,3,9,9,4,5,2,Others,Online,I do not consume soft drinks at all,Never,Less Often,Less Often,Never,Online,Online,24-28,Female,Bangalore,Student
799,7,8,4,4,8,2,9,7,2,8,10,7,3,6,Others,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
800,2,9,6,9,10,5,10,10,5,2,2,2,9,5,Samsung,Retail,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
801,3,8,4,10,1,10,4,7,8,10,4,7,10,4,Apple,Online,I do not consume soft drinks at all,Never,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in North,Student
802,7,8,4,4,7,10,3,2,5,8,2,2,6,5,Apple,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
803,9,9,7,9,5,7,2,1,8,9,9,1,5,1,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Never,Newspaper,Online,18-23,Male,Other towns in North,Student
804,6,8,8,5,9,5,5,6,9,6,2,5,7,5,Apple,Retail,I do not consume soft drinks at all,Everyday,Never,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Mumbai,Student
805,3,9,2,8,9,5,8,5,8,9,2,8,8,2,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in South,Student
806,9,10,8,7,9,6,0,5,8,8,8,5,5,8,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Delhi,Student
807,8,9,9,5,10,9,10,10,6,10,0,10,10,2,Apple,Retail,Orange,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Mumbai,Student
808,5,2,5,5,10,2,9,1,5,9,5,0,4,1,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Never,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
809,10,8,8,5,10,10,1,0,7,10,5,4,6,0,Xiaomi,Online,I do not consume soft drinks at all,Never,Never,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
810,7,6,5,5,4,8,6,7,9,7,7,6,5,6,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
811,5,8,5,8,10,4,4,8,7,9,8,7,6,8,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
812,2,5,2,9,9,2,4,7,5,2,8,8,5,8,One Plus,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,18-23,Male,Kolkata,Student
813,5,7,3,0,2,5,4,4,4,3,5,0,9,8,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
814,2,6,0,10,0,2,8,8,10,5,10,1,4,10,Oppo,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Kolkata,Self Employed/business
815,9,10,5,9,4,4,5,9,8,9,8,7,8,9,One Plus,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
816,8,8,6,5,7,0,2,7,3,7,4,7,7,9,Samsung,Retail,I do not consume soft drinks at all,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in South,Student
817,8,9,5,1,10,10,1,6,7,8,8,1,1,0,Apple,Online,Cola,Never,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
818,0,8,6,0,10,6,7,6,5,10,5,8,5,5,One Plus,Online,White/Colourless,Never,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Chennai,Student
819,1,8,2,9,10,1,6,7,7,9,5,4,7,7,Others,Online,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
820,5,7,7,5,5,8,7,0,8,5,2,1,4,0,Others,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Newspaper,Retail Stores,24-28,Female,Mumbai,Student
821,5,7,9,8,10,3,7,8,1,0,2,8,8,8,One Plus,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
822,3,4,4,7,9,2,9,9,2,8,3,8,9,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
823,4,3,6,0,1,0,4,7,9,3,2,7,8,10,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
824,4,9,3,0,8,0,7,5,9,9,0,2,1,5,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Newspaper,Retail Stores,18-23,Female,Other towns in South,Student
825,5,3,9,10,10,10,6,8,5,6,3,4,7,1,Others,Retail,Fruit flavour,Less Often,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Hyderabad,Student
826,8,9,4,4,5,6,2,8,8,8,5,6,3,4,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
827,4,7,5,6,9,4,7,4,8,8,3,7,4,7,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
828,8,9,7,5,9,5,6,3,1,7,2,8,7,1,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Newspaper,Online,24-28,Male,Other towns in West,Student
829,8,8,6,7,3,5,3,5,9,9,5,8,5,7,Samsung,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Female,Other towns in North,Student
830,4,8,5,8,9,3,5,2,9,8,3,10,7,9,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in East,Student
831,6,7,4,6,10,1,6,5,5,10,4,5,5,7,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
832,3,7,2,6,9,6,5,8,7,7,4,6,7,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Online,24-28,Male,Other towns in East,Student
833,6,10,4,2,3,1,9,1,10,6,5,8,6,10,Others,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
834,2,6,1,5,7,2,1,3,9,8,2,8,5,9,Apple,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
835,1,8,5,2,1,3,1,2,9,7,2,7,2,3,Xiaomi,Online,Orange,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Kolkata,Student
836,7,9,7,6,8,3,6,3,6,6,5,4,3,6,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
837,8,8,8,8,10,10,7,2,4,9,2,3,3,5,Samsung,Retail,Cola,Less Often,Never,Never,Never,Newspaper,Retail Stores,18-23,Male,Kolkata,Student
838,4,7,9,2,2,8,10,8,6,5,2,10,10,5,One Plus,Online,Cola,Never,Less Often,Less Often,Everyday,Online,Retail Stores,18-23,Female,Other towns in South,Student
839,3,9,5,2,8,4,9,1,5,7,6,3,0,10,Others,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Online,18-23,Male,Hyderabad,Student
840,9,8,4,6,9,6,0,6,8,8,5,6,6,3,Others,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
841,4,10,7,8,4,4,8,5,4,8,5,6,3,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
842,1,2,2,5,9,4,9,3,5,5,2,0,10,9,Others,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in North,Student
843,9,9,9,9,10,8,9,9,8,8,8,9,8,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
844,2,10,4,8,10,2,3,10,7,9,2,8,8,0,Xiaomi,Online,Cola,Never,Never,Less Often,Less Often,Online,Online,18-23,Male,Other towns in North,Student
845,7,5,5,1,3,0,6,7,10,10,10,10,9,10,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
846,2,8,7,5,9,0,8,8,5,8,5,8,7,5,Xiaomi,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Delhi,Student
847,8,10,10,7,10,7,10,10,10,10,5,10,7,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
848,6,7,7,7,0,6,0,5,8,4,0,0,8,0,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
849,7,6,6,5,7,7,3,7,5,9,7,4,5,2,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
850,1,7,4,5,3,2,10,7,5,6,4,3,4,4,One Plus,Second hand mobile sources,Cola,Never,Never,Less Often,Everyday,Online,Online,24-28,Female,Other towns in North,Student
851,5,5,5,5,5,8,4,5,4,4,4,7,6,4,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
852,8,8,2,4,9,9,4,6,5,8,7,8,4,8,Others,Online,Cola,Never,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
853,7,9,4,8,2,6,4,9,8,10,5,8,8,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
854,6,9,1,7,10,4,10,6,10,10,7,4,6,7,Xiaomi,Retail,White/Colourless,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
855,4,9,7,3,4,6,8,5,9,10,6,5,2,8,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
856,5,8,4,10,9,4,6,2,8,10,10,4,3,10,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
857,3,7,6,6,9,8,8,7,5,6,1,4,5,5,Others,Online,Cola,Never,Everyday,Never,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
858,8,9,7,4,6,9,3,4,6,10,4,7,5,4,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
859,5,8,7,6,6,3,7,5,10,9,3,8,4,5,Apple,Retail,Orange,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
860,8,7,7,9,8,5,9,9,7,8,9,6,7,7,Xiaomi,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
861,5,10,3,10,10,5,7,7,10,8,2,5,7,2,One Plus,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
862,4,9,1,9,10,4,8,8,10,9,1,1,3,2,Apple,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
863,9,8,5,5,4,9,2,6,5,3,2,6,6,5,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
864,8,7,8,5,9,5,6,4,8,8,8,5,4,5,Xiaomi,Online,Cola,Never,Less Often,Less Often,Less Often,Newspaper,Online,24-28,Male,Other towns in North,Student
865,7,9,8,5,10,2,2,3,5,7,2,0,0,6,Xiaomi,Online,Fruit flavour,Never,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in West,Student
866,3,8,3,8,4,0,9,9,7,7,7,8,6,2,One Plus,Online,Orange,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Kolkata,Student
867,7,10,5,8,7,3,7,6,8,9,5,2,4,8,Others,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Other towns in East,Student
868,6,8,4,5,8,3,5,1,8,5,4,2,2,5,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
869,8,6,9,10,7,10,6,10,3,3,0,1,10,5,Apple,Retail,Orange,Never,Less Often,Less Often,Less Often,Newspaper,Retail Stores,18-23,Male,Delhi,Student
870,10,10,8,6,5,8,0,0,10,0,0,0,0,9,Samsung,Retail,Fruit flavour,Never,Less Often,Less Often,Everyday,Online,Retail Stores,18-23,Male,Other towns in West,Student
871,8,8,5,8,0,7,4,3,9,9,5,9,8,8,One Plus,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
872,3,3,3,5,3,0,5,9,9,7,4,8,8,4,Apple,Retail,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
873,9,10,6,4,10,2,7,3,7,9,9,10,9,10,One Plus,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
874,5,8,7,6,6,5,7,5,4,5,2,7,5,8,Xiaomi,Online,Fruit flavour,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
875,10,10,4,6,5,6,4,6,3,10,3,2,4,3,Others,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Delhi,Student
876,6,6,8,8,3,5,8,5,6,9,5,3,3,4,One Plus,Online,Fruit flavour,Everyday,Less Often,Less Often,Never,Online,Retail Stores,18-23,Male,Other towns in North,Student
877,2,9,6,7,10,8,8,4,9,10,5,4,7,2,Apple,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Delhi,Student
878,2,7,3,7,8,4,4,3,7,2,2,3,8,9,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Male,Other towns in North,Student
879,7,9,8,10,5,2,4,10,5,10,4,10,10,5,One Plus,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
880,5,9,4,6,4,1,7,4,5,8,4,2,5,9,Others,Retail,Cola,Never,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
881,2,10,5,5,10,1,10,8,2,7,7,8,9,5,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Never,Online,Online,24-28,Male,Other towns in East,Student
882,2,10,10,5,10,7,3,0,5,10,5,1,0,5,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
883,5,10,7,7,0,6,2,7,6,10,10,4,6,10,Others,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
884,6,8,9,9,10,9,7,7,4,7,4,6,7,4,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
885,7,9,3,5,9,8,0,7,5,10,7,6,2,4,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
886,2,10,0,5,10,0,10,10,10,10,0,10,10,10,Apple,Online,White/Colourless,Never,Never,Everyday,Never,Online,Online,18-23,Female,Delhi,Student
887,4,7,8,9,10,4,6,9,8,8,4,4,4,5,One Plus,Online,White/Colourless,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
888,2,2,8,4,10,8,8,8,6,10,3,5,10,1,Xiaomi,Online,Orange,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
889,8,9,8,5,9,9,9,5,5,8,1,8,9,1,Apple,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Female,Other towns in East,Student
890,1,6,5,1,9,0,6,2,9,7,6,6,2,6,Xiaomi,Online,Fruit flavour,Less Often,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Male,Mumbai,Student
891,7,9,7,9,3,9,2,7,9,9,5,6,7,5,Xiaomi,Online,Fruit flavour,Never,Less Often,Less Often,Never,Online,Online,18-23,Male,Other towns in South,Student
892,3,8,6,8,6,6,8,6,8,8,0,7,5,2,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
893,9,8,4,6,10,6,5,2,5,7,5,1,3,9,One Plus,Online,Fruit flavour,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in East,Student
894,7,9,8,8,8,9,8,6,5,8,1,8,8,1,Others,Second hand mobile sources,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
895,4,8,3,8,2,4,7,4,8,8,7,4,6,4,Apple,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
896,8,7,3,6,8,9,2,2,9,5,2,0,7,1,Others,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
897,3,2,3,7,0,8,10,2,1,5,1,9,8,1,Vivo,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
898,10,8,9,7,9,7,2,2,5,5,0,4,9,4,Others,Retail,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
899,9,8,2,9,10,6,3,0,9,2,1,2,2,5,Samsung,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
900,9,9,6,8,10,8,3,8,10,9,2,7,8,7,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
901,1,1,7,9,10,1,9,2,7,8,3,0,0,1,One Plus,Online,Fruit flavour,Less Often,Less Often,Never,Never,Online,Online,24-28,Male,Other towns in West,Student
902,4,9,6,6,9,3,8,7,7,10,10,10,8,9,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
